id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35634067,D.P：逃兵追缉令 第二季,,https://dou.img.lithub.cc/movie/35634067.jpg,2023-07-28(韩国),https://movie.douban.com/subject/35634067/,8.5,"剧情,动作,犯罪",4,,,2023-09-18 21:53:59,2023 / 韩国 / 剧情 动作 犯罪 / 韩俊熙 / 丁海寅 具教焕
35028876,D.P：逃兵追缉令,,https://dou.img.lithub.cc/movie/35028876.jpg,2021-08-27(韩国),https://movie.douban.com/subject/35028876/,9.1,"剧情,动作,犯罪",4,,,2023-09-18 21:53:51,2021 / 韩国 / 剧情 动作 犯罪 / 韩俊熙 / 丁海寅 具教焕
26722100,又是吴海英,,https://dou.img.lithub.cc/movie/26722100.jpg,2016-05-02(韩国),https://movie.douban.com/subject/26722100/,8.3,"剧情,爱情,奇幻",4,,,2023-09-18 21:52:58,2016 / 韩国 / 剧情 爱情 奇幻 / 宋贤旭 / 徐玄振 文晸赫
35400242,社内相亲,,https://dou.img.lithub.cc/movie/35400242.jpg,2022-02-28(韩国),https://movie.douban.com/subject/35400242/,7.9,"喜剧,爱情",,,,2023-09-18 21:51:39,2022 / 韩国 / 喜剧 爱情 / 朴善浩 / 安孝燮 金世正
35441504,我们的蓝调,,https://dou.img.lithub.cc/movie/35441504.jpg,2022-04-09(韩国),https://movie.douban.com/subject/35441504/,8.8,剧情,5,,,2023-09-18 21:51:30,2022 / 韩国 / 剧情 / 金奎泰 / 李炳宪 申敏儿
35524446,非常律师禹英禑,,https://dou.img.lithub.cc/movie/35524446.jpg,2022-06-29(韩国),https://movie.douban.com/subject/35524446/,8.8,"剧情,喜剧",5,,,2023-09-18 21:50:55,2022 / 韩国 / 剧情 喜剧 / 刘仁值 / 朴恩斌 姜泰伍
35322421,我的解放日志,,https://dou.img.lithub.cc/movie/35322421.jpg,2022-04-09(韩国),https://movie.douban.com/subject/35322421/,9,剧情,5,,,2023-09-18 21:50:16,2022 / 韩国 / 剧情 / 金锡允 / 李民基 金智媛
30129753,费雪小姐和泪之穴,,https://dou.img.lithub.cc/movie/30129753.jpg,2020-02-27(澳大利亚),https://movie.douban.com/subject/30129753/,6,悬疑,3,主要奔着费雪和探长来的,,2023-07-22 13:19:05,2020 / 澳大利亚 / 悬疑 / Tony Tilse / 埃茜·戴维斯 内森·佩吉
26386974,费雪小姐探案集 第三季,,https://dou.img.lithub.cc/movie/26386974.jpg,2015-05-08(澳大利亚),https://movie.douban.com/subject/26386974/,8.7,"悬疑,犯罪",4,上一季的结尾费雪小姐和 jack 已经发展倒晚上约会了，这季继续暧昧。探长的吃醋和费雪的吃醋说明俩人是有发展的。最后一集费雪离开时 jack 说：“我总担心有个男人会把你从我身边带走，但我没想到这个男人会是你父亲。”他说了「从我身边」哦！这种关系绝对是一种默契，我怀疑他们在一起了，可是应该不是那种「做我女朋友吧」的明确界限,,2023-07-22 13:17:09,2015 / 澳大利亚 / 悬疑 犯罪 / 托尼·蒂尔斯 / 埃茜·戴维斯 内森·佩吉
25722091,费雪小姐探案集 第二季,,https://dou.img.lithub.cc/movie/25722091.jpg,2013-09-06(澳大利亚),https://movie.douban.com/subject/25722091/,8.7,"剧情,悬疑,犯罪",4,探长太迷人了,,2023-07-22 13:11:23,2013 / 澳大利亚 / 剧情 悬疑 犯罪 / 托尼·蒂尔斯 Declan Eames Sian Davies Catherine Millar / 埃茜·戴维斯 Nathan Page
